ts,name,seed,args,auroc,auprc,delta,fast
09-16 18:21,d1l_05_02,0,"--d1l 0.5,0.2",0.9148,0.7117,-0.006,0
09-16 20:12,d1l_neg,0,"--d1l 0.5,0.2 --d1l-shuffle",0.912,0.7081,-0.0096,0
09-16 22:06,n4_ema999,0,--ema-decay 0.999,0.9054,0.6909,-0.0268,0
09-17 00:47,aug_crop_strong,0,"--aug-params 0.4,1.0,0.0,0.5",0.913,0.7107,-0.007,0
09-17 00:47,b0_gamma07,0,--gamma 0.7,0.9131,0.7136,-0.0041,0
09-17 02:49,b0_gamma09,0,--gamma 0.9,0.9119,0.7111,-0.0066,0
09-17 04:40,b0_lambd003,0,--lambd 0.003,0.9124,0.7086,-0.0091,0
09-17 06:30,b0_lambd01,0,--lambd 0.01,0.9127,0.7109,-0.0068,0
09-17 08:22,aug_crop_weak,0,"--aug-params 0.7,1.0,0.0,0.5",0.9119,0.7204,0.0027,0
09-17 13:09,aug_crop_080,0,"--aug-params 0.8,1.0,0.0,0.5",0.9111,0.7165,-0.0012,0
09-17 13:11,aug_crop_weak,2,"--aug-params 0.7,1.0,0.0,0.5",0.912,0.71,-0.0077,0
09-17 15:58,aug_crop_090,0,"--aug-params 0.9,1.0,0.0,0.5",0.9108,0.7081,-0.0096,0
09-17 16:00,aug_crop_weak,4,"--aug-params 0.7,1.0,0.0,0.5",0.9118,0.7123,-0.0054,0
09-17 18:53,aug_mask_weak,0,"--aug-params 0.5,1.0,0.0,0.3",0.9129,0.7117,-0.006,0
09-17 18:56,aug_crop_085,0,"--aug-params 0.85,1.0,0.0,0.5",0.9092,0.7148,-0.0029,0
09-18 09:29,d7_rec003,0,--d7-weight 0.03,0.9161,0.7158,-0.0019,0
09-18 11:00,arb3_base,0,ar_pt,0.9116,0.718,0.0003,0
09-18 11:25,psfull_arb3,0,e006_pt,0.9117,0.7075,-0.0102,0
09-18 11:59,common_view01,0,--common-weight 0.1,0.9108,0.7028,-0.0149,0
09-18 14:28,d7_rec01,0,--d7-weight 0.1,0.9139,0.7064,-0.0113,0
09-18 14:50,proj_dim1024,0,--projector 1024-1024-1024,0.913,0.7092,-0.0085,0
09-18 18:59,h2_blur3,0,--blur-pool 3,0.9151,0.7085,-0.0092,0
09-18 19:00,h2_blur3,2,--blur-pool 3,0.9153,0.7217,0.004,0
09-18 21:49,h2_blur3,4,--blur-pool 3,0.9153,0.7149,-0.0028,0
09-19 00:46,lead_swap02,0,--lead-swap-prob 0.2,0.914,0.7109,-0.0068,0
09-19 06:03,cautious_adam,0,--cautious,0.8739,0.6316,-0.0861,0
09-19 09:37,speed_perturb,0,"--speed-perturb 0.85,1.15",0.9166,0.7108,-0.0069,0
09-19 15:03,asym_view,0,"--view2-params 0.9,1.0,0.0,0.1",0.9119,0.7053,-0.0124,0
09-19 17:01,proj_dim4096,0,--projector 4096-4096-4096,0.9127,0.7105,-0.0072,0
09-20 09:55,h1_white8,0,--whiten 8,0.9094,0.7021,-0.0156,0
09-20 12:51,h1_white8,2,--whiten 8,0.9097,0.7074,-0.0103,0
09-20 12:53,h1_white8,4,--whiten 8,0.9131,0.7026,-0.0151,0
09-20 15:28,h1_ln_neg8,0,--whiten 8 --whiten-ln,0.9106,0.699,-0.0187,0
09-20 15:44,h1_pos_neg8,0,--whiten 8 --whiten-shuffle,0.9096,0.6951,-0.0226,0
09-20 19:27,t3_pow3,0,--pool-power 3,0.9162,0.7137,-0.004,0
09-20 19:28,t3_pow3,2,--pool-power 3,0.915,0.7167,-0.001,0
09-20 19:30,t3_pow3,4,--pool-power 3,0.9153,0.715,-0.0027,0
09-20 21:55,b0fast,0,,0.9109,0.7055,-0.0122,1
09-20 22:34,c1_nfh_b0,0,--data-dir data/pt_pretrain_nfh --epochs 100,0.8907,0.6574,-0.0603,0
09-21 04:35,a3_acl_inter,0,--acl-region 1 --acl-inter 1 --acl-gamma 0.5 --acl-tau 0.1,0.9085,0.6994,-0.0183,0
09-21 04:35,a2_acl_intra,0,--acl-region 1 --acl-inter 0 --acl-tau 0.1,0.8697,0.6266,-0.0911,0
09-21 04:59,a1_d1l_fix,0,"--d1l 0.5,0.2",0.8822,0.6471,-0.0706,0
