ckpt,cond,auroc,auprc
b0_anchor,full,0.9126,0.7173
b0_anchor,miss0,0.9083,0.7021
b0_anchor,miss1,0.9013,0.6992
b0_anchor,miss2,0.9074,0.7018
b0_anchor,miss3,0.9093,0.7129
b0_anchor,miss4,0.9121,0.7148
b0_anchor,miss5,0.9118,0.7167
b0_anchor,miss6,0.9126,0.7114
b0_anchor,miss7,0.9124,0.7133
b0_anchor,miss01,0.8851,0.6560
b0_anchor,miss02,0.9017,0.6805
b0_anchor,miss03,0.9041,0.6945
b0_anchor,miss04,0.9076,0.6975
b0_anchor,miss05,0.9072,0.7032
b0_anchor,miss06,0.9083,0.6992
b0_anchor,miss07,0.9068,0.6948
b0_anchor,miss12,0.8924,0.6804
b0_anchor,miss13,0.8997,0.6939
b0_anchor,miss14,0.9006,0.6966
b0_anchor,miss15,0.8995,0.6982
b0_anchor,miss16,0.9013,0.6966
b0_anchor,miss17,0.9001,0.6918
b0_anchor,miss23,0.8979,0.6912
b0_anchor,miss24,0.9065,0.6996
b0_anchor,miss25,0.9063,0.7030
b0_anchor,miss26,0.9069,0.6966
b0_anchor,miss27,0.9064,0.7012
b0_anchor,miss34,0.9078,0.7057
b0_anchor,miss35,0.9083,0.7115
b0_anchor,miss36,0.9093,0.7088
b0_anchor,miss37,0.9089,0.7087
b0_anchor,miss45,0.9098,0.7106
b0_anchor,miss46,0.9117,0.7072
b0_anchor,miss47,0.9116,0.7105
b0_anchor,miss56,0.9119,0.7110
b0_anchor,miss57,0.9115,0.7158
b0_anchor,miss67,0.9091,0.6925
c1_nfh_b0,full,0.8907,0.6574
c1_nfh_b0,miss0,0.8883,0.6509
c1_nfh_b0,miss1,0.8816,0.6472
c1_nfh_b0,miss2,0.8842,0.6469
c1_nfh_b0,miss3,0.8862,0.6478
c1_nfh_b0,miss4,0.8898,0.6522
c1_nfh_b0,miss5,0.8898,0.6572
c1_nfh_b0,miss6,0.8880,0.6544
c1_nfh_b0,miss7,0.8893,0.6547
c1_nfh_b0,miss01,0.8676,0.6210
c1_nfh_b0,miss02,0.8809,0.6422
c1_nfh_b0,miss03,0.8825,0.6370
c1_nfh_b0,miss04,0.8864,0.6453
c1_nfh_b0,miss05,0.8863,0.6494
c1_nfh_b0,miss06,0.8847,0.6466
c1_nfh_b0,miss07,0.8843,0.6443
c1_nfh_b0,miss12,0.8722,0.6339
c1_nfh_b0,miss13,0.8755,0.6327
c1_nfh_b0,miss14,0.8799,0.6428
c1_nfh_b0,miss15,0.8794,0.6443
c1_nfh_b0,miss16,0.8782,0.6429
c1_nfh_b0,miss17,0.8786,0.6430
c1_nfh_b0,miss23,0.8719,0.6274
c1_nfh_b0,miss24,0.8818,0.6381
c1_nfh_b0,miss25,0.8831,0.6495
c1_nfh_b0,miss26,0.8818,0.6418
c1_nfh_b0,miss27,0.8818,0.6422
c1_nfh_b0,miss34,0.8829,0.6366
c1_nfh_b0,miss35,0.8841,0.6464
c1_nfh_b0,miss36,0.8828,0.6426
c1_nfh_b0,miss37,0.8832,0.6433
c1_nfh_b0,miss45,0.8861,0.6473
c1_nfh_b0,miss46,0.8853,0.6478
c1_nfh_b0,miss47,0.8879,0.6494
c1_nfh_b0,miss56,0.8863,0.6533
c1_nfh_b0,miss57,0.8883,0.6558
c1_nfh_b0,miss67,0.8826,0.6481
