ts,ckpt,seed,eval,downstream,auroc,auprc,git_sha,checkpoint_sha256
09-22 01:36,b0,2,ft10,ptbxl,0.8706,0.6474,unknown,f39059a4430c
09-22 02:10,b0,4,ft10,ptbxl,0.8679,0.6440,unknown,ba4f2d3c99af
09-22 02:11,b0,2,lp,ptbxl,0.9152,0.7144,unknown,f39059a4430c
09-22 02:13,b0,4,lp,ptbxl,0.9135,0.7037,unknown,ba4f2d3c99af
09-22 02:13,c2,0,lp,cpsc,0.9586,0.8092,unknown,af242a89c340
09-22 02:13,c1,0,lp,cpsc,0.9538,0.7857,unknown,de0c28eedb30
09-22 02:14,c1,2,lp,cpsc,0.9512,0.7708,unknown,26ebf0e26e5a
09-22 02:14,c2,2,lp,cpsc,0.9586,0.8018,unknown,d3f8979f70cd
09-22 02:15,c1,4,lp,cpsc,0.9554,0.7904,unknown,e599dbcdb693
09-22 02:15,c2,4,lp,cpsc,0.9580,0.8050,unknown,5979f2301720
09-22 02:49,c1,0,ft10,ptbxl,0.8604,0.6341,unknown,de0c28eedb30
09-22 02:49,c2,0,ft10,ptbxl,0.8627,0.6360,unknown,af242a89c340
