seed,cond,auroc,auprc
0,full,0.8860,0.6564
0,miss0,0.8820,0.6450
0,miss1,0.8755,0.6381
0,miss2,0.8794,0.6446
0,miss3,0.8817,0.6429
0,miss4,0.8866,0.6568
0,miss5,0.8854,0.6549
0,miss6,0.8842,0.6578
0,miss7,0.8838,0.6586
0,miss01,0.8600,0.6096
0,miss02,0.8757,0.6353
0,miss03,0.8782,0.6309
0,miss04,0.8828,0.6450
0,miss05,0.8811,0.6427
0,miss06,0.8799,0.6476
0,miss07,0.8782,0.6411
0,miss12,0.8660,0.6219
0,miss13,0.8722,0.6280
0,miss14,0.8770,0.6393
0,miss15,0.8742,0.6380
0,miss16,0.8737,0.6402
0,miss17,0.8721,0.6410
0,miss23,0.8693,0.6236
0,miss24,0.8801,0.6438
0,miss25,0.8789,0.6448
0,miss26,0.8781,0.6458
0,miss27,0.8762,0.6452
0,miss34,0.8816,0.6399
0,miss35,0.8809,0.6401
0,miss36,0.8794,0.6413
0,miss37,0.8798,0.6444
0,miss45,0.8843,0.6512
0,miss46,0.8847,0.6574
0,miss47,0.8851,0.6600
0,miss56,0.8836,0.6534
0,miss57,0.8837,0.6579
0,miss67,0.8786,0.6518
2,full,0.8845,0.6518
2,miss0,0.8815,0.6492
2,miss1,0.8744,0.6419
2,miss2,0.8753,0.6380
2,miss3,0.8796,0.6357
2,miss4,0.8843,0.6493
2,miss5,0.8845,0.6518
2,miss6,0.8821,0.6481
2,miss7,0.8818,0.6461
2,miss01,0.8648,0.6211
2,miss02,0.8716,0.6340
2,miss03,0.8763,0.6314
2,miss04,0.8811,0.6468
2,miss05,0.8814,0.6483
2,miss06,0.8787,0.6459
2,miss07,0.8771,0.6411
2,miss12,0.8601,0.6250
2,miss13,0.8702,0.6260
2,miss14,0.8735,0.6386
2,miss15,0.8722,0.6390
2,miss16,0.8708,0.6365
2,miss17,0.8710,0.6380
2,miss23,0.8629,0.6110
2,miss24,0.8738,0.6351
2,miss25,0.8752,0.6391
2,miss26,0.8725,0.6355
2,miss27,0.8732,0.6314
2,miss34,0.8781,0.6275
2,miss35,0.8792,0.6349
2,miss36,0.8766,0.6314
2,miss37,0.8767,0.6326
2,miss45,0.8828,0.6475
2,miss46,0.8811,0.6474
2,miss47,0.8814,0.6460
2,miss56,0.8818,0.6466
2,miss57,0.8823,0.6477
2,miss67,0.8759,0.6367
4,full,0.8876,0.6579
4,miss0,0.8841,0.6504
4,miss1,0.8777,0.6476
4,miss2,0.8800,0.6536
4,miss3,0.8830,0.6488
4,miss4,0.8854,0.6504
4,miss5,0.8861,0.6578
4,miss6,0.8853,0.6620
4,miss7,0.8872,0.6574
4,miss01,0.8652,0.6216
4,miss02,0.8764,0.6416
4,miss03,0.8789,0.6419
4,miss04,0.8819,0.6421
4,miss05,0.8826,0.6494
4,miss06,0.8814,0.6519
4,miss07,0.8826,0.6478
4,miss12,0.8652,0.6320
4,miss13,0.8732,0.6404
4,miss14,0.8762,0.6411
4,miss15,0.8760,0.6451
4,miss16,0.8748,0.6467
4,miss17,0.8767,0.6448
4,miss23,0.8691,0.6343
4,miss24,0.8768,0.6443
4,miss25,0.8783,0.6494
4,miss26,0.8777,0.6538
4,miss27,0.8802,0.6524
4,miss34,0.8796,0.6362
4,miss35,0.8811,0.6487
4,miss36,0.8802,0.6523
4,miss37,0.8829,0.6489
4,miss45,0.8829,0.6467
4,miss46,0.8824,0.6516
4,miss47,0.8850,0.6498
4,miss56,0.8841,0.6574
4,miss57,0.8857,0.6588
4,miss67,0.8815,0.6484
