eval,downstream,ckpt,n_seeds,mean,sd,per_seed
lp,cpsc,b0,1,0.8105,0.0000,0.8105
lp,cpsc,c1,3,0.7823,0.0102,0.7857/0.7708/0.7904
lp,cpsc,c2,3,0.8053,0.0037,0.8092/0.8018/0.8050
lp,chapman,b0,1,0.9796,0.0000,0.9796
lp,chapman,c1,3,0.9889,0.0002,0.9891/0.9888/0.9888
lp,chapman,c2,3,0.9886,0.0004,0.9889/0.9888/0.9881
lp,ptbxl,b0,3,0.7119,0.0073,0.7177/0.7144/0.7037
lp,ptbxl,c1,3,0.6533,0.0107,0.6574/0.6412/0.6613
lp,ptbxl,c2,3,0.6554,0.0032,0.6564/0.6518/0.6579
ft10,ptbxl,b0,3,0.6449,0.0022,0.6433/0.6474/0.6440
ft10,ptbxl,c1,3,0.6279,0.0053,0.6341/0.6246/0.6251
ft10,ptbxl,c2,3,0.6345,0.0049,0.6360/0.6384/0.6290
