family,probe,host,seeds,auprc,delta_pt_vs_local_b0,closure_reason,source_file,source_git_sha
目标矩阵,d1l_05_02,A,s0,0.7117,-0.60,D1L 旧实现关闭,runlog/M/matrix_results.csv,3e58eb1
目标矩阵,d1l_neg,A,s0,0.7081,-0.96,负对照符合预期,runlog/M/matrix_results.csv,3e58eb1
超参,b0_gamma07,A,s0,0.7136,-0.41,gamma=0.8 不改,runlog/M/matrix_results.csv,3e58eb1
超参,b0_gamma09,A,s0,0.7111,-0.66,gamma=0.8 不改,runlog/M/matrix_results.csv,3e58eb1
超参,b0_lambd003,A,s0,0.7086,-0.91,lambda=0.0051 不改,runlog/M/matrix_results.csv,3e58eb1
超参,b0_lambd01,A,s0,0.7109,-0.68,lambda=0.0051 不改,runlog/M/matrix_results.csv,3e58eb1
增强,aug_crop_strong,A,s0,0.7107,-0.70,强裁剪关闭,runlog/M/matrix_results.csv,3e58eb1
增强,aug_crop_weak,A,s0,0.7204,+0.27,seed0 微正，未通过确认,runlog/M/matrix_results.csv,3e58eb1
增强,aug_crop_weak,A,s2,0.7100,-0.77,3-seed 门拦截,runlog/M/matrix_results.csv,3e58eb1
增强,aug_crop_weak,A,s4,0.7123,-0.54,裁剪轴关闭,runlog/M/matrix_results.csv,3e58eb1
增强,aug_crop_080,A,s0,0.7165,-0.12,无稳定收益,runlog/M/matrix_results.csv,3e58eb1
增强,aug_crop_090,A,s0,0.7081,-0.96,无稳定收益,runlog/M/matrix_results.csv,3e58eb1
增强,aug_crop_085,A,s0,0.7148,-0.29,无稳定收益,runlog/M/matrix_results.csv,3e58eb1
增强,aug_mask_weak,A,s0,0.7117,-0.60,遮挡弱化关闭,runlog/M/matrix_results.csv,3e58eb1
重建,d7_rec003,A,s0,0.7158,-0.19,当前 D7 权重关闭,runlog/M/matrix_results.csv,3e58eb1
重建,d7_rec01,A,s0,0.7064,-1.13,当前 D7 权重关闭,runlog/M/matrix_results.csv,3e58eb1
共享视图,common_view01,A,s0,0.7028,-1.49,共模视图关闭,runlog/M/matrix_results.csv,3e58eb1
结构先验,psfull_arb3,A,s0,0.7075,-1.02,结构复合关闭,runlog/M/matrix_results.csv,3e58eb1
融合基线,arb3_base,A,s0,0.7180,+0.03,视为持平，不晋级,runlog/M/matrix_results.csv,3e58eb1
投影头,proj_dim1024,A,s0,0.7092,-0.85,容量缩减关闭,runlog/M/matrix_results.csv,3e58eb1
投影头,proj_dim4096,A,s0,0.7105,-0.72,容量扩大关闭,runlog/M/matrix_results.csv,3e58eb1
白化,h1_white8,A,s0,0.7021,-1.56,白化族关闭,runlog/M/matrix_results.csv,3e58eb1
白化,h1_white8,A,s2,0.7074,-1.03,白化族关闭,runlog/M/matrix_results.csv,3e58eb1
白化,h1_white8,A,s4,0.7026,-1.51,白化族关闭,runlog/M/matrix_results.csv,3e58eb1
白化负对照,h1_ln_neg8,A,s0,0.6990,-1.87,负对照,runlog/M/matrix_results.csv,3e58eb1
白化负对照,h1_pos_neg8,A,s0,0.6951,-2.26,负对照,runlog/M/matrix_results.csv,3e58eb1
pooling,t3_pow3,A,s0,0.7137,-0.40,power pooling 关闭,runlog/M/matrix_results.csv,3e58eb1
pooling,t3_pow3,A,s2,0.7167,-0.10,power pooling 关闭,runlog/M/matrix_results.csv,3e58eb1
pooling,t3_pow3,A,s4,0.7150,-0.27,power pooling 关闭,runlog/M/matrix_results.csv,3e58eb1
fast 路径,b0fast,A,s0,0.7055,-1.22,不能替代标准协议,runlog/M/matrix_results.csv,3e58eb1
