record,stage,nonfinite_leads,n_nan,n_inf,raw_len,fs_hz,nonfinite_after_resample,detection_path,source_data,source_manifest
JS10765,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V5,60,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS10767,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,4,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS10890,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,10,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS10951,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V1,3,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS11887,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,16,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS11897,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,3,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS11956,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V4,88,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS12751,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,101,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS13181,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,5,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS14161,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,5,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS14343,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V6,105,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
JS14627,"nonfinite(W1 B口径: wfdb p_signal 8导, 重采样前)",V4,54,0,5000,500,1,prepare_nfh.py L42 同路径重扫,E:\GZA\ECG_data\ningbo,runlog/W1/nfh_manifest.json(hostB W1)
