lead_i,lead_j,cond,auprc_mean,drop_vs_full_pt_mean,auprc_per_seed,drop_per_seed_pt,source_file,source_git_sha
0,1,miss01,0.6174,-3.79,0.6096/0.6211/0.6216,-4.68/-3.07/-3.63,runlog/W2/missing_lead_c2.csv,edd9aec
0,2,miss02,0.6370,-1.84,0.6353/0.6340/0.6416,-2.11/-1.78/-1.63,runlog/W2/missing_lead_c2.csv,edd9aec
0,3,miss03,0.6347,-2.06,0.6309/0.6314/0.6419,-2.55/-2.04/-1.60,runlog/W2/missing_lead_c2.csv,edd9aec
0,4,miss04,0.6446,-1.07,0.6450/0.6468/0.6421,-1.14/-0.50/-1.58,runlog/W2/missing_lead_c2.csv,edd9aec
0,5,miss05,0.6468,-0.86,0.6427/0.6483/0.6494,-1.37/-0.35/-0.85,runlog/W2/missing_lead_c2.csv,edd9aec
0,6,miss06,0.6485,-0.69,0.6476/0.6459/0.6519,-0.88/-0.59/-0.60,runlog/W2/missing_lead_c2.csv,edd9aec
0,7,miss07,0.6433,-1.20,0.6411/0.6411/0.6478,-1.53/-1.07/-1.01,runlog/W2/missing_lead_c2.csv,edd9aec
1,0,miss01,0.6174,-3.79,0.6096/0.6211/0.6216,-4.68/-3.07/-3.63,runlog/W2/missing_lead_c2.csv,edd9aec
1,2,miss12,0.6263,-2.91,0.6219/0.6250/0.6320,-3.45/-2.68/-2.59,runlog/W2/missing_lead_c2.csv,edd9aec
1,3,miss13,0.6315,-2.39,0.6280/0.6260/0.6404,-2.84/-2.58/-1.75,runlog/W2/missing_lead_c2.csv,edd9aec
1,4,miss14,0.6397,-1.57,0.6393/0.6386/0.6411,-1.71/-1.32/-1.68,runlog/W2/missing_lead_c2.csv,edd9aec
1,5,miss15,0.6407,-1.47,0.6380/0.6390/0.6451,-1.84/-1.28/-1.28,runlog/W2/missing_lead_c2.csv,edd9aec
1,6,miss16,0.6411,-1.42,0.6402/0.6365/0.6467,-1.62/-1.53/-1.12,runlog/W2/missing_lead_c2.csv,edd9aec
1,7,miss17,0.6413,-1.41,0.6410/0.6380/0.6448,-1.54/-1.38/-1.31,runlog/W2/missing_lead_c2.csv,edd9aec
2,0,miss02,0.6370,-1.84,0.6353/0.6340/0.6416,-2.11/-1.78/-1.63,runlog/W2/missing_lead_c2.csv,edd9aec
2,1,miss12,0.6263,-2.91,0.6219/0.6250/0.6320,-3.45/-2.68/-2.59,runlog/W2/missing_lead_c2.csv,edd9aec
2,3,miss23,0.6230,-3.24,0.6236/0.6110/0.6343,-3.28/-4.08/-2.36,runlog/W2/missing_lead_c2.csv,edd9aec
2,4,miss24,0.6411,-1.43,0.6438/0.6351/0.6443,-1.26/-1.67/-1.36,runlog/W2/missing_lead_c2.csv,edd9aec
2,5,miss25,0.6444,-1.09,0.6448/0.6391/0.6494,-1.16/-1.27/-0.85,runlog/W2/missing_lead_c2.csv,edd9aec
2,6,miss26,0.6450,-1.03,0.6458/0.6355/0.6538,-1.06/-1.63/-0.41,runlog/W2/missing_lead_c2.csv,edd9aec
2,7,miss27,0.6430,-1.24,0.6452/0.6314/0.6524,-1.12/-2.04/-0.55,runlog/W2/missing_lead_c2.csv,edd9aec
3,0,miss03,0.6347,-2.06,0.6309/0.6314/0.6419,-2.55/-2.04/-1.60,runlog/W2/missing_lead_c2.csv,edd9aec
3,1,miss13,0.6315,-2.39,0.6280/0.6260/0.6404,-2.84/-2.58/-1.75,runlog/W2/missing_lead_c2.csv,edd9aec
3,2,miss23,0.6230,-3.24,0.6236/0.6110/0.6343,-3.28/-4.08/-2.36,runlog/W2/missing_lead_c2.csv,edd9aec
3,4,miss34,0.6345,-2.08,0.6399/0.6275/0.6362,-1.65/-2.43/-2.17,runlog/W2/missing_lead_c2.csv,edd9aec
3,5,miss35,0.6412,-1.41,0.6401/0.6349/0.6487,-1.63/-1.69/-0.92,runlog/W2/missing_lead_c2.csv,edd9aec
3,6,miss36,0.6417,-1.37,0.6413/0.6314/0.6523,-1.51/-2.04/-0.56,runlog/W2/missing_lead_c2.csv,edd9aec
3,7,miss37,0.6420,-1.34,0.6444/0.6326/0.6489,-1.20/-1.92/-0.90,runlog/W2/missing_lead_c2.csv,edd9aec
4,0,miss04,0.6446,-1.07,0.6450/0.6468/0.6421,-1.14/-0.50/-1.58,runlog/W2/missing_lead_c2.csv,edd9aec
4,1,miss14,0.6397,-1.57,0.6393/0.6386/0.6411,-1.71/-1.32/-1.68,runlog/W2/missing_lead_c2.csv,edd9aec
4,2,miss24,0.6411,-1.43,0.6438/0.6351/0.6443,-1.26/-1.67/-1.36,runlog/W2/missing_lead_c2.csv,edd9aec
4,3,miss34,0.6345,-2.08,0.6399/0.6275/0.6362,-1.65/-2.43/-2.17,runlog/W2/missing_lead_c2.csv,edd9aec
4,5,miss45,0.6485,-0.69,0.6512/0.6475/0.6467,-0.52/-0.43/-1.12,runlog/W2/missing_lead_c2.csv,edd9aec
4,6,miss46,0.6521,-0.32,0.6574/0.6474/0.6516,+0.10/-0.44/-0.63,runlog/W2/missing_lead_c2.csv,edd9aec
4,7,miss47,0.6519,-0.34,0.6600/0.6460/0.6498,+0.36/-0.58/-0.81,runlog/W2/missing_lead_c2.csv,edd9aec
5,0,miss05,0.6468,-0.86,0.6427/0.6483/0.6494,-1.37/-0.35/-0.85,runlog/W2/missing_lead_c2.csv,edd9aec
5,1,miss15,0.6407,-1.47,0.6380/0.6390/0.6451,-1.84/-1.28/-1.28,runlog/W2/missing_lead_c2.csv,edd9aec
5,2,miss25,0.6444,-1.09,0.6448/0.6391/0.6494,-1.16/-1.27/-0.85,runlog/W2/missing_lead_c2.csv,edd9aec
5,3,miss35,0.6412,-1.41,0.6401/0.6349/0.6487,-1.63/-1.69/-0.92,runlog/W2/missing_lead_c2.csv,edd9aec
5,4,miss45,0.6485,-0.69,0.6512/0.6475/0.6467,-0.52/-0.43/-1.12,runlog/W2/missing_lead_c2.csv,edd9aec
5,6,miss56,0.6525,-0.29,0.6534/0.6466/0.6574,-0.30/-0.52/-0.05,runlog/W2/missing_lead_c2.csv,edd9aec
5,7,miss57,0.6548,-0.06,0.6579/0.6477/0.6588,+0.15/-0.41/+0.09,runlog/W2/missing_lead_c2.csv,edd9aec
6,0,miss06,0.6485,-0.69,0.6476/0.6459/0.6519,-0.88/-0.59/-0.60,runlog/W2/missing_lead_c2.csv,edd9aec
6,1,miss16,0.6411,-1.42,0.6402/0.6365/0.6467,-1.62/-1.53/-1.12,runlog/W2/missing_lead_c2.csv,edd9aec
6,2,miss26,0.6450,-1.03,0.6458/0.6355/0.6538,-1.06/-1.63/-0.41,runlog/W2/missing_lead_c2.csv,edd9aec
6,3,miss36,0.6417,-1.37,0.6413/0.6314/0.6523,-1.51/-2.04/-0.56,runlog/W2/missing_lead_c2.csv,edd9aec
6,4,miss46,0.6521,-0.32,0.6574/0.6474/0.6516,+0.10/-0.44/-0.63,runlog/W2/missing_lead_c2.csv,edd9aec
6,5,miss56,0.6525,-0.29,0.6534/0.6466/0.6574,-0.30/-0.52/-0.05,runlog/W2/missing_lead_c2.csv,edd9aec
6,7,miss67,0.6456,-0.97,0.6518/0.6367/0.6484,-0.46/-1.51/-0.95,runlog/W2/missing_lead_c2.csv,edd9aec
7,0,miss07,0.6433,-1.20,0.6411/0.6411/0.6478,-1.53/-1.07/-1.01,runlog/W2/missing_lead_c2.csv,edd9aec
7,1,miss17,0.6413,-1.41,0.6410/0.6380/0.6448,-1.54/-1.38/-1.31,runlog/W2/missing_lead_c2.csv,edd9aec
7,2,miss27,0.6430,-1.24,0.6452/0.6314/0.6524,-1.12/-2.04/-0.55,runlog/W2/missing_lead_c2.csv,edd9aec
7,3,miss37,0.6420,-1.34,0.6444/0.6326/0.6489,-1.20/-1.92/-0.90,runlog/W2/missing_lead_c2.csv,edd9aec
7,4,miss47,0.6519,-0.34,0.6600/0.6460/0.6498,+0.36/-0.58/-0.81,runlog/W2/missing_lead_c2.csv,edd9aec
7,5,miss57,0.6548,-0.06,0.6579/0.6477/0.6588,+0.15/-0.41/+0.09,runlog/W2/missing_lead_c2.csv,edd9aec
7,6,miss67,0.6456,-0.97,0.6518/0.6367/0.6484,-0.46/-1.51/-0.95,runlog/W2/missing_lead_c2.csv,edd9aec
