ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:50,ptbxl,lp,2,bw,0,0.8810,0.6399,0.9152,0.7144,-3.42,-7.45,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,bw,0,0.8842,0.6376,0.9135,0.7037,-2.93,-6.61,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,bw,5,0.9021,0.6820,0.9152,0.7144,-1.31,-3.24,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,bw,5,0.9000,0.6710,0.9135,0.7037,-1.35,-3.28,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,bw,10,0.9088,0.6894,0.9152,0.7144,-0.64,-2.50,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,bw,10,0.9070,0.6837,0.9135,0.7037,-0.65,-2.00,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,bw,20,0.9159,0.7143,0.9152,0.7144,+0.07,-0.01,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,bw,20,0.9131,0.7053,0.9135,0.7037,-0.04,+0.16,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,emg,0,0.5636,0.2417,0.9152,0.7144,-35.16,-47.27,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,emg,0,0.5520,0.2240,0.9135,0.7037,-36.15,-47.97,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,emg,5,0.6357,0.2915,0.9152,0.7144,-27.95,-42.29,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,emg,5,0.6351,0.2926,0.9135,0.7037,-27.84,-41.12,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,emg,10,0.7321,0.4009,0.9152,0.7144,-18.31,-31.35,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,emg,10,0.7565,0.4343,0.9135,0.7037,-15.70,-26.94,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,emg,20,0.8440,0.5740,0.9152,0.7144,-7.12,-14.04,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,emg,20,0.8450,0.5762,0.9135,0.7037,-6.85,-12.76,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl50,0,0.5779,0.2548,0.9152,0.7144,-33.73,-45.96,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl50,0,0.5490,0.2254,0.9135,0.7037,-36.45,-47.83,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl50,5,0.6595,0.3109,0.9152,0.7144,-25.57,-40.35,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl50,5,0.6247,0.2896,0.9135,0.7037,-28.88,-41.41,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl50,10,0.6930,0.3565,0.9152,0.7144,-22.22,-35.80,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl50,10,0.7290,0.4077,0.9135,0.7037,-18.45,-29.61,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl50,20,0.7911,0.5080,0.9152,0.7144,-12.41,-20.64,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl50,20,0.8173,0.5328,0.9135,0.7037,-9.62,-17.09,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl60,0,0.5717,0.2457,0.9152,0.7144,-34.35,-46.87,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl60,0,0.5457,0.2227,0.9135,0.7037,-36.78,-48.11,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl60,5,0.6606,0.3037,0.9152,0.7144,-25.46,-41.07,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl60,5,0.6232,0.2892,0.9135,0.7037,-29.03,-41.46,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl60,10,0.7042,0.3595,0.9152,0.7144,-21.10,-35.49,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl60,10,0.7435,0.4221,0.9135,0.7037,-17.00,-28.17,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,pl60,20,0.7950,0.5119,0.9152,0.7144,-12.02,-20.25,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,pl60,20,0.8254,0.5507,0.9135,0.7037,-8.81,-15.31,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.8,0.9096,0.7101,0.9152,0.7144,-0.56,-0.43,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.8,0.9076,0.7019,0.9135,0.7037,-0.59,-0.19,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.6,0.8901,0.6606,0.9152,0.7144,-2.51,-5.38,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.6,0.8875,0.6570,0.9135,0.7037,-2.60,-4.67,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.4,0.8397,0.5871,0.9152,0.7144,-7.55,-12.73,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.4,0.8360,0.5823,0.9135,0.7037,-7.75,-12.14,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,qual_amp,0.2,0.7353,0.4542,0.9152,0.7144,-17.99,-26.02,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,qual_amp,0.2,0.7326,0.4667,0.9135,0.7037,-18.09,-23.71,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
