ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:49,ptbxl,lp,0,bw,0,0.8730,0.6334,0.8907,0.6574,-1.78,-2.40,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:49,ptbxl,lp,2,bw,0,0.8669,0.6220,0.8795,0.6412,-1.26,-1.92,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:49,ptbxl,lp,4,bw,0,0.8659,0.6235,0.8842,0.6612,-1.82,-3.77,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,bw,5,0.8851,0.6569,0.8907,0.6574,-0.57,-0.05,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,bw,5,0.8785,0.6343,0.8795,0.6412,-0.10,-0.69,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,bw,5,0.8797,0.6511,0.8842,0.6612,-0.44,-1.01,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,bw,10,0.8899,0.6601,0.8907,0.6574,-0.09,+0.27,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,bw,10,0.8797,0.6401,0.8795,0.6412,+0.02,-0.10,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,bw,10,0.8828,0.6586,0.8842,0.6612,-0.13,-0.26,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,bw,20,0.8909,0.6590,0.8907,0.6574,+0.01,+0.16,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,bw,20,0.8799,0.6436,0.8795,0.6412,+0.04,+0.24,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,bw,20,0.8840,0.6603,0.8842,0.6612,-0.01,-0.09,1739,d9490c8,e599dbcdb693,7d9a524cc38e
