eval,downstream,ckpt,origin,n_seeds,mean,sd,per_seed,mean_pm_sd,source_file,source_git_sha
ft10,ptbxl,b0,W2/W3(冻结),3,0.6449,0.0022,0.6433/0.6474/0.6440,0.6449±0.0022,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
ft10,ptbxl,c1,W2/W3(冻结),3,0.6279,0.0053,0.6341/0.6246/0.6251,0.6279±0.0053,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
ft10,ptbxl,c2,W2/W3(冻结),3,0.6345,0.0049,0.6360/0.6384/0.6290,0.6345±0.0049,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
ft10,ptbxl,clocs,W4外部基线(clocs_ssl(multi-positive)),3,0.8542,0.0028,0.8541/0.8570/0.8514,0.8542±0.0028,runlog/W4/baseline_results.csv,2468a14
ft10,ptbxl,simclr,W4外部基线(contrastive_ssl),3,0.8500,0.0029,0.8502/0.8528/0.8471,0.8500±0.0029,runlog/W4/baseline_results.csv,2468a14
ft100,ptbxl,s3,W4外部基线(supervised_direct),3,0.8777,0.0080,0.8845/0.8797/0.8689,0.8777±0.0080,runlog/W4/baseline_results.csv,2468a14
lp,chapman,b0,W2/W3(冻结),1,0.9796,0.0000,0.9796,0.9796±0.0000,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,chapman,b0,W4外部基线(bt_ssl(baseline)),2,0.9932,0.0010,0.9925/0.9939,0.9932±0.0010,runlog/W4/baseline_results.csv,2468a14
lp,chapman,c1,W2/W3(冻结),3,0.9889,0.0002,0.9891/0.9888/0.9888,0.9889±0.0002,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,chapman,c2,W2/W3(冻结),3,0.9886,0.0004,0.9889/0.9888/0.9881,0.9886±0.0004,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,chapman,clocs,W4外部基线(clocs_ssl(multi-positive)),3,0.9960,0.0002,0.9958/0.9961/0.9962,0.9960±0.0002,runlog/W4/baseline_results.csv,2468a14
lp,chapman,simclr,W4外部基线(contrastive_ssl),3,0.9876,0.0005,0.9880/0.9871/0.9877,0.9876±0.0005,runlog/W4/baseline_results.csv,2468a14
lp,cpsc,b0,W2/W3(冻结),1,0.8105,0.0000,0.8105,0.8105±0.0000,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,cpsc,b0,W4外部基线(bt_ssl(baseline)),2,0.9585,0.0029,0.9564/0.9605,0.9585±0.0029,runlog/W4/baseline_results.csv,2468a14
lp,cpsc,c1,W2/W3(冻结),3,0.7823,0.0102,0.7857/0.7708/0.7904,0.7823±0.0102,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,cpsc,c2,W2/W3(冻结),3,0.8053,0.0037,0.8092/0.8018/0.8050,0.8053±0.0037,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,cpsc,clocs,W4外部基线(clocs_ssl(multi-positive)),3,0.9477,0.0015,0.9463/0.9475/0.9492,0.9477±0.0015,runlog/W4/baseline_results.csv,2468a14
lp,cpsc,simclr,W4外部基线(contrastive_ssl),3,0.9377,0.0005,0.9380/0.9371/0.9379,0.9377±0.0005,runlog/W4/baseline_results.csv,2468a14
lp,ptbxl,b0,W2/W3(冻结),3,0.7119,0.0073,0.7177/0.7144/0.7037,0.7119±0.0073,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,ptbxl,c1,W2/W3(冻结),3,0.6533,0.0107,0.6574/0.6412/0.6613,0.6533±0.0107,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,ptbxl,c2,W2/W3(冻结),3,0.6554,0.0032,0.6564/0.6518/0.6579,0.6554±0.0032,runlog/W2/confirm_results.csv;runlog/W1/c3_evals.csv,edd9aec
lp,ptbxl,clocs,W4外部基线(clocs_ssl(multi-positive)),3,0.8690,0.0029,0.8681/0.8666/0.8722,0.8690±0.0029,runlog/W4/baseline_results.csv,2468a14
lp,ptbxl,simclr,W4外部基线(contrastive_ssl),3,0.8791,0.0009,0.8791/0.8782/0.8799,0.8791±0.0009,runlog/W4/baseline_results.csv,2468a14
