ts,ckpt,seed,eval,downstream,auroc,auprc,git_sha,checkpoint_sha256,method_family,hparams_ref
2026-09-25 10:26,b0,0,lp,cpsc,0.9506,0.7775,32ec160,026033d532d4e42a1b53ca9c4d2e95f9c09b2daaaab5c9041c9d474a1356cdad,bt_ssl(baseline),W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:27,b0,2,lp,cpsc,0.9501,0.7708,32ec160,f39059a4430c2e7aa8963ca3c75b608120452f517622862fb3a73a7dc95d26a4,bt_ssl(baseline),W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:28,b0,4,lp,cpsc,0.9512,0.7712,32ec160,ba4f2d3c99aff6b5889dae4ebdd1103b8949e2d1f8fcadd28d0a5df8b91c0daa,bt_ssl(baseline),W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:28,c1,0,lp,cpsc,0.9455,0.7589,32ec160,de0c28eedb30841492c36644ad1d06e11aab7bb02bbb5b42ff5d18524a5bc177,bt_ssl,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:29,c1,2,lp,cpsc,0.9453,0.7583,32ec160,26ebf0e26e5abee04f4064182d79e449e3c849693979162577171717cb2b7787,bt_ssl,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:30,c1,4,lp,cpsc,0.9481,0.7627,32ec160,e599dbcdb69372186c3b49b0d0ced3389e2c909a458d86a8413a58524e31715e,bt_ssl,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:31,c2,0,lp,cpsc,0.9455,0.7659,32ec160,af242a89c340969fd57e70349e4b88e4bf6725c5586f5c12d62a96a199ed9524,bt_ssl+trc,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:32,c2,2,lp,cpsc,0.9468,0.7642,32ec160,d3f8979f70cdce3da7eefa320f72d98ba5a975a5ea4141605fbf52ce34de5666,bt_ssl+trc,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:33,c2,4,lp,cpsc,0.9498,0.7747,32ec160,5979f230172000c51b9de93fc6d96d675c844841610f0b71cbb0c8e0147c982d,bt_ssl+trc,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:34,simclr,0,lp,cpsc,0.9164,0.6728,32ec160,cc28ed3a955490014cb582c9fb75193140b9ca5d083e3f783963b76c80d2f103,contrastive_ssl,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:35,simclr,2,lp,cpsc,0.9142,0.6563,32ec160,e4b431ba5c601bd52de3ad0e9b70d003d6840b5b8ce81409b50cae2b44d8b677,contrastive_ssl,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:36,simclr,4,lp,cpsc,0.9143,0.6661,32ec160,5958c81aeef97f9a35144740bec47216f5b3cd8e023737f19dbdca85c328fc30,contrastive_ssl,W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:37,clocs,0,lp,cpsc,0.9401,0.7412,32ec160,c1f139d98059812aeee6453c5c7ec9cb2e99d57f338178833cd6e0cd159574d5,clocs_ssl(multi-positive),W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:38,clocs,2,lp,cpsc,0.9421,0.7468,32ec160,69bc974a433ae50222178a4d084e07ed175254a3100034c7ad06451d2c4f11c1,clocs_ssl(multi-positive),W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
2026-09-25 10:38,clocs,4,lp,cpsc,0.9433,0.7545,32ec160,914ed37ad35e05d70cfb00c217f5f622dfd6eef0441507ba02a5da968f13e995,clocs_ssl(multi-positive),W5重评估(见runlog/W5/cpsc_audit.md; LP协议与W2/W4同构)
